pattern_id	name	group	classification	capability_family	existing_experiment	overlap_score	overlap_type	primary_gap_owner	catalog_visible	recommendation_eligible	execution_routing_allowed	unique_gap	proposed_action	rationale	evidence_contract	evidence_strength	source_status
PAT-001	Spec Aligner	team	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-011	70	partial	unresolved	true	false	false	End-to-end specification provenance	candidate_new_experiment	The compiler evaluates a candidate skill but does not establish a specification-to-release chain.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-002	PR Narrator	team	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-011	65	partial	unresolved	true	false	false	PR narrative provenance	candidate_new_experiment	A review artifact is not a proven PR narrative and release provenance pipeline.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-003	Review Router	team	customer_provided_capability_pattern	FAMILY-001	MAD-SKILL-008	90	full		true	false	false	No identified design gap	map_to_existing_experiment	The router proposal explicitly covers recommendation-only routing and progressive disclosure.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	strong	customer_provided_unverified
PAT-004	Decision Log	team	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-006	55	partial	unresolved	true	false	false	Decision provenance and supersession	candidate_new_experiment	A redacted feedback loop does not provide a stable decision-to-release traceability model.	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	moderate	customer_provided_unverified
PAT-005	Issue Gardener	team	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-011	60	partial	unresolved	true	false	false	Stable issue-to-evidence identifiers	candidate_new_experiment	The compiler gate lacks lifecycle IDs and orphan detection for issue evidence.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-006	Design Sync	team	customer_provided_capability_pattern	FAMILY-006	MAD-SKILL-010	50	partial	unresolved	true	false	false	Visual review evidence	candidate_new_experiment	A privacy-gated demonstration outline is not a browser or visual QA contract.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-007	Security Buddy	team	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-011	75	full		true	false	false	No identified design gap	map_to_existing_experiment	The compiler proposal explicitly requires permission, threat, and data-flow evidence.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	strong	customer_provided_unverified
PAT-008	Knowledge Base	team	customer_provided_capability_pattern	FAMILY-004	MAD-SKILL-003	60	partial	unresolved	true	false	false	Bounded knowledge retrieval and lifecycle	candidate_extension	Source-to-skill provenance is related but does not establish a general knowledge-base runtime or retrieval contract.	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	moderate	customer_provided_unverified
PAT-009	Onboarding Map	team	customer_provided_capability_pattern	FAMILY-004	MAD-SKILL-009	50	partial	unresolved	true	false	false	Onboarding-specific orientation evidence	candidate_extension	A text decision diagram does not by itself cover onboarding context or newcomer validation.	candidate-intake/base-experiment-contracts/MAD-SKILL-009.json	weak	customer_provided_unverified
PAT-010	Retrospective Bot	team	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-006	55	partial	unresolved	true	false	false	Retrospective provenance	candidate_new_experiment	The feedback-loop proposal does not retain a release-linked retrospective evidence chain.	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	moderate	customer_provided_unverified
PAT-011	Agent Swarm	automation	customer_provided_capability_pattern	FAMILY-005	MAD-SKILL-005	55	partial	unresolved	true	false	false	Worker topology and task evidence	candidate_extension	Control-plane separation intentionally excludes agent execution and does not endorse an agent swarm.	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	moderate	customer_provided_unverified
PAT-012	Playwright Scout	automation	customer_provided_capability_pattern	FAMILY-006	MAD-SKILL-010	55	partial	unresolved	true	false	false	Browser and visual evidence gate	candidate_new_experiment	The demonstration boundary does not implement browser QA, routes, or visual assertions.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-013	Terminal Sense	automation	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	60	partial	unresolved	true	false	false	Terminal observation boundary	candidate_extension	A capability contract describes evidence requirements but does not observe or operate a terminal.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-014	CI Fixer	automation	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	55	partial	unresolved	true	false	false	Scheduled CI repair governance	candidate_new_experiment	A contract harness does not own scheduling, retry ceilings, or circuit-breaker policy.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-015	Release Notes	automation	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-011	60	partial	unresolved	true	false	false	Release-note provenance	candidate_new_experiment	The compiler creates review evidence but not a validated release-note provenance chain.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-016	Data Cleaner	automation	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	55	partial	unresolved	true	false	false	Scheduled data-action governance	candidate_new_experiment	A future data action needs scheduler budgets, cancellation, and side-effect containment beyond an acceptance contract.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-017	Screenshot QA	automation	customer_provided_capability_pattern	FAMILY-006	MAD-SKILL-010	55	partial	unresolved	true	false	false	Viewport and visual-diff evidence	candidate_new_experiment	The privacy gate does not define screenshot baselines or visual acceptance criteria.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-018	Changelog Miner	automation	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-006	50	partial	unresolved	true	false	false	Changelog provenance	candidate_new_experiment	Feedback signals are not a release-linked changelog source model.	candidate-intake/base-experiment-contracts/MAD-SKILL-006.json	moderate	customer_provided_unverified
PAT-019	Dependency Guard	automation	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	55	partial	unresolved	true	false	false	Scheduled dependency governance	candidate_new_experiment	The contract harness does not schedule dependency checks or own their retry and budget limits.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-020	Nightly Runner	automation	customer_provided_capability_pattern	FAMILY-008		10	none	unresolved	true	false	false	Allowlist budget cancellation and circuit breaker	candidate_new_experiment	No registered experiment owns a scheduler safety controller.	not_applicable	insufficient	customer_provided_unverified
PAT-021	Context Pack	advanced_engineering	customer_provided_capability_pattern	FAMILY-004	MAD-SKILL-001	60	partial	unresolved	true	false	false	Reusable context packaging evidence	candidate_extension	A bounded project map is related but does not define reusable context-pack selection or expiry.	candidate-intake/base-experiment-contracts/MAD-SKILL-001.json	moderate	customer_provided_unverified
PAT-022	Repo Cartographer	advanced_engineering	customer_provided_capability_pattern	FAMILY-004	MAD-SKILL-001	95	full		true	false	false	No identified design gap	map_to_existing_experiment	The proposal explicitly defines a bounded project map with evidence links and exclusions.	candidate-intake/base-experiment-contracts/MAD-SKILL-001.json	strong	customer_provided_unverified
PAT-023	Test Pilot	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	90	full		true	false	false	No identified design gap	map_to_existing_experiment	The proposal explicitly requires real-output acceptance evidence beyond a zero exit code.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	strong	customer_provided_unverified
PAT-024	Debug Radar	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Diagnostic workflow evidence	candidate_extension	An output harness helps assess results but does not define a debugging workflow.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-025	Refactor Lens	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Refactor decision evidence	candidate_extension	Regression evidence is related but the proposal does not specify refactor analysis or decision criteria.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-026	API Stitcher	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Integration design evidence	candidate_extension	A generic contract does not define API integration design or compatibility boundaries.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-027	Migration Buddy	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Migration planning and compatibility evidence	candidate_extension	Acceptance checks are related but do not define migration sequencing or compatibility decisions.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-028	Docs Whisperer	advanced_engineering	customer_provided_capability_pattern	FAMILY-002	MAD-SKILL-011	60	partial	unresolved	true	false	false	Document provenance	candidate_new_experiment	The compiler gate does not provide stale-document or release provenance handling.	candidate-intake/base-experiment-contracts/MAD-SKILL-011.json	moderate	customer_provided_unverified
PAT-029	Prompt Harness	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	90	full		true	false	false	No identified design gap	map_to_existing_experiment	Prompt claims fit the proposal's baseline and real-output evidence contract.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	strong	customer_provided_unverified
PAT-030	Ship Checklist	advanced_engineering	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Release readiness decision evidence	candidate_extension	Acceptance evidence is related but a release checklist needs a distinct readiness and disposition model.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-031	Planning with Files	foundation	customer_provided_capability_pattern	FAMILY-004	MAD-SKILL-003	60	partial	unresolved	true	false	false	Planning-file lifecycle evidence	candidate_extension	Source-to-skill provenance does not define a persistent planning-file lifecycle.	candidate-intake/base-experiment-contracts/MAD-SKILL-003.json	moderate	verification_blocked
PAT-032	Superpowers	foundation	customer_provided_capability_pattern	FAMILY-001	MAD-SKILL-008	75	full		true	false	false	No identified design gap	map_to_existing_experiment	The router proposal covers recommendation-only selection and progressive disclosure; source claims remain unverified.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	strong	verification_blocked
PAT-033	Code Review	foundation	customer_provided_capability_pattern	FAMILY-005	MAD-SKILL-005	55	partial	unresolved	true	false	false	Review-specific evidence and disposition	candidate_extension	Control-plane role separation does not create a code-review implementation or approval tier.	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	moderate	ambiguous_source
PAT-034	Webapp Testing	foundation	customer_provided_capability_pattern	FAMILY-006	MAD-SKILL-010	55	partial	unresolved	true	false	false	Browser and visual QA gate	candidate_new_experiment	A demonstration boundary is not a browser testing implementation.	candidate-intake/base-experiment-contracts/MAD-SKILL-010.json	weak	customer_provided_unverified
PAT-035	Code Simplifier	foundation	customer_provided_capability_pattern	FAMILY-003	MAD-SKILL-002	65	partial	unresolved	true	false	false	Simplification decision evidence	candidate_extension	The contract harness can verify results but does not define simplification quality criteria.	candidate-intake/base-experiment-contracts/MAD-SKILL-002.json	moderate	customer_provided_unverified
PAT-036	UI UX Pro Max	foundation	customer_provided_capability_pattern	FAMILY-006		0	none	unresolved	true	false	false	Verified source and safe design boundary	rejected_pending_verification	No reliable source identity or design scope is established.	not_applicable	insufficient	ambiguous_source
PAT-037	MCP Builder	foundation	customer_provided_capability_pattern	FAMILY-009		20	adjacent	separate-skill	true	false	false	Explicit registration contract	separate_skill	MCP registration and external access require an independent high-risk approval boundary.	not_applicable	weak	ambiguous_source
PAT-038	Ralph Loop	foundation	customer_provided_capability_pattern	FAMILY-005	MAD-SKILL-005	50	partial	unresolved	true	false	false	Verified source and bounded loop semantics	candidate_extension	Only a pause-and-handoff concept is relevant; the source is ambiguous and no loop runtime is authorized.	candidate-intake/base-experiment-contracts/MAD-SKILL-005.json	weak	ambiguous_source
PAT-039	PPTX	foundation	customer_provided_capability_pattern	FAMILY-007	MAD-SKILL-004	45	partial	separate-skill	true	false	false	Artifact renderer execution	separate_skill	Planning and render separation does not provide a presentation-generation runtime.	candidate-intake/base-experiment-contracts/MAD-SKILL-004.json	weak	ambiguous_source
PAT-040	Skill Creator	foundation	customer_provided_capability_pattern	FAMILY-001	MAD-SKILL-008	55	partial	unresolved	true	false	false	Skill authoring evidence package	candidate_extension	Routing and progressive disclosure do not create or modify a Skill.	candidate-intake/base-experiment-contracts/MAD-SKILL-008.json	moderate	customer_provided_unverified
